,datetime,depto,op1,op2,op3,prop1,prop2,prop3,prop4,total
0,2013/03,CUNDINAMARCA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,H V TELEVISION S.A.S.,0.5245992668589896,0.2728542611109906,0.1215018545430883,0.08104461748693159,230515
0,2013/03,CÓRDOBA,DIRECTV COLOMBIA LTDA,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.3210233495422088,0.29288415764956705,0.16109577839108657,0.22499671441713753,68481
0,2013/03,HUILA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.5266505746079458,0.18496758816474623,0.17655721030499005,0.11182462692231787,65871
0,2013/03,LA GUAJIRA,DIRECTV COLOMBIA LTDA,TELMEX COLOMBIA S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.3827384967301094,0.2601835830962785,0.17622217660341946,0.18085574357019263,34099
0,2013/03,NORTE DE SANTANDER,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,INGELCOM Ingeniería Electrónica y de Telecomunicaciones S.A.S.,0.56838832668187,0.11254632269099202,0.10573154218928164,0.21333380843785632,112256
0,2013/03,RISARALDA,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.5850052059861071,0.21878350867923355,0.09864178153506659,0.09756950379959273,128698
0,2013/03,SANTANDER,TELMEX COLOMBIA S.A.,UNE EPM TELECOMUNICACIONES S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.3541566378294616,0.3510757790400741,0.14839469835549993,0.14637288477496446,218121
0,2013/03,TOLIMA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6812862072382944,0.16811871018893082,0.11388105556206247,0.03671402701071236,110993
0,2013/03,VALLE DEL CAUCA,TELMEX COLOMBIA S.A.,UNE EPM TELECOMUNICACIONES S.A.,DIRECTV COLOMBIA LTDA,0.44403438669288847,0.2827912921939628,0.1381460543109481,0.1350282668022007,527297
0,2013/03,AMAZONAS,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.5932721712538226,0.3375676311456128,0.06916019760056458,1.1102230246251565e-16,4251
0,2013/03,BOGOTÁ D.C.,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,UNE EPM TELECOMUNICACIONES S.A.,0.7000843175039034,0.18435593179236254,0.05207258767061703,0.06348716303311697,1072138
0,2013/03,BOYACÁ,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6098387010342425,0.22659021488666203,0.09127056427844167,0.07230051980065366,93305
0,2013/03,CASANARE,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.4807745287102995,0.3647526466999882,0.11314888425361093,0.04132394033610132,25409
0,2013/03,CESAR,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.43518829294488826,0.26683224810364503,0.17005101698328523,0.12792844196818143,59588
0,2013/03,GUAINÍA,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,0.9174454828660437,0.08255451713395638,0.0,0.0,642
0,2013/03,GUAVIARE,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,0.7975848188614146,0.2024151811385854,0.0,0.0,1739
0,2013/03,MAGDALENA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.4258466329311016,0.2615273010368378,0.19430977741604444,0.11831628861601606,56518
0,2013/03,META,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6437636812444693,0.22913464673280237,0.1043151227236738,0.022786549299054548,85884
0,2013/03,NARIÑO,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),DIRECTV COLOMBIA LTDA,0.523185418248888,0.22465010307041336,0.15399804708690462,0.09816643159379401,46085
0,2013/03,PUTUMAYO,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6400378907483423,0.20050520997789706,0.15945689927376067,0.0,9501
0,2013/03,QUINDÍO,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.4168001474194509,0.32333054559371766,0.12533488312756036,0.13453442385927106,70547
0,2013/03,SUCRE,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.627363010715219,0.1702021081975782,0.09713389668089555,0.1053009844063072,45916
0,2013/03,VAUPÉS,DIRECTV COLOMBIA LTDA,No hay,No hay,1.0,0.0,0.0,0.0,632
0,2013/03,VICHADA,DIRECTV COLOMBIA LTDA,TELMEX COLOMBIA S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.7215031315240084,0.23131524008350732,0.04718162839248434,0.0,2395
0,2013/04,ANTIOQUIA,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,0.6339715195401108,0.20617915874103887,0.10745525006836419,0.05239407165048615,830113
0,2013/04,ARAUCA,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,T V SATELITE ARAUCA LTDA,0.347343735906918,0.21836384955353116,0.15405429782628302,0.2802381167132678,11087
