datetime,id_departamento,departamento,id_municipio,municipio,accesos
2017/02,68,SANTANDER,68689,SAN VICENTE DE CHUCURÍ,927
2017/02,85,CASANARE,85162,MONTERREY,926
2017/02,13,BOLÍVAR,13688,SANTA ROSA DEL SUR,919
2017/02,76,VALLE DEL CAUCA,76670,SAN PEDRO,907
2017/02,99,VICHADA,99001,PUERTO CARREÑO,891
2017/02,17,CALDAS,17013,AGUADAS,879
2017/02,47,MAGDALENA,47551,PIVIJAY,874
2017/02,25,CUNDINAMARCA,25200,COGUA,873
2017/02,76,VALLE DEL CAUCA,76020,ALCALÁ,872
2017/02,15,BOYACÁ,15491,NOBSA,871
2017/02,50,META,50606,RESTREPO,867
2017/02,73,TOLIMA,73861,VENADILLO,867
2017/02,5,ANTIOQUIA,5667,SAN RAFAEL,854
2017/02,13,BOLÍVAR,13670,SAN PABLO,847
2017/02,23,CÓRDOBA,23686,SAN PELAYO,839
2017/02,5,ANTIOQUIA,5120,CÁCERES,836
2017/02,5,ANTIOQUIA,5858,VEGACHÍ,829
2017/02,5,ANTIOQUIA,5390,LA PINTADA,804
2017/02,5,ANTIOQUIA,5649,SAN CARLOS,800
2017/02,15,BOYACÁ,15299,GARAGOA,800
2017/02,15,BOYACÁ,15469,MONIQUIRÁ,798
2017/02,5,ANTIOQUIA,5480,MUTATÁ,797
2017/02,25,CUNDINAMARCA,25245,EL COLEGIO,793
2017/02,5,ANTIOQUIA,5209,CONCORDIA,792
2017/02,5,ANTIOQUIA,5234,DABEIBA,791
2017/02,25,CUNDINAMARCA,25322,GUASCA,791
2017/02,5,ANTIOQUIA,5642,SALGAR,787
2017/02,25,CUNDINAMARCA,25513,PACHO,787
2017/02,23,CÓRDOBA,23670,SAN ANDRÉS DE SOTAVENTO,778
2017/02,5,ANTIOQUIA,5893,YONDÓ,773
2017/02,25,CUNDINAMARCA,25001,AGUA DE DIOS,760
2017/02,5,ANTIOQUIA,5674,SAN VICENTE FERRER,756
2017/02,86,PUTUMAYO,86749,SIBUNDOY,755
2017/02,76,VALLE DEL CAUCA,76828,TRUJILLO,754
2017/02,25,CUNDINAMARCA,25743,SILVANIA,753
2017/02,41,HUILA,41668,SAN AGUSTÍN,752
2017/02,68,SANTANDER,68655,SABANA DE TORRES,745
2017/02,44,LA GUAJIRA,44847,URIBIA,741
2017/02,81,ARAUCA,81794,TAME,740
2017/02,5,ANTIOQUIA,5660,SAN LUIS,739
2017/02,17,CALDAS,17513,PÁCORA,727
2017/02,76,VALLE DEL CAUCA,76126,CALIMA,724
2017/02,23,CÓRDOBA,23855,VALENCIA,718
2017/02,73,TOLIMA,73283,FRESNO,716
2017/02,44,LA GUAJIRA,44078,BARRANCAS,712
2017/02,5,ANTIOQUIA,5040,ANORÍ,710
2017/02,41,HUILA,41306,GIGANTE,708
2017/02,18,CAQUETA,18753,SAN VICENTE DEL CAGUÁN,706
2017/02,47,MAGDALENA,47675,SALAMINA,700
2017/02,73,TOLIMA,73055,ARMERO,699
2017/02,17,CALDAS,17877,VITERBO,694
2017/02,5,ANTIOQUIA,5310,GÓMEZ PLATA,692
2017/02,73,TOLIMA,73483,NATAGAIMA,682
2017/02,25,CUNDINAMARCA,25151,CAQUEZA,681
2017/02,85,CASANARE,85263,PORE,669
2017/02,17,CALDAS,17653,SALAMINA,666
2017/02,41,HUILA,41524,PALERMO,666
2017/02,17,CALDAS,17433,MANZANARES,664
2017/02,5,ANTIOQUIA,5093,BETULIA,663
2017/02,76,VALLE DEL CAUCA,76306,GINEBRA,655
2017/02,66,RISARALDA,66440,MARSELLA,649
2017/02,70,SUCRE,70742,SAN LUIS DE SINCÉ,649
2017/02,17,CALDAS,17486,NEIRA,648
2017/02,66,RISARALDA,66687,SANTUARIO,648
2017/02,15,BOYACÁ,15455,MIRAFLORES,630
2017/02,5,ANTIOQUIA,5138,CAÑASGORDAS,622
2017/02,23,CÓRDOBA,23570,PUEBLO NUEVO,621
2017/02,13,BOLÍVAR,13683,SANTA ROSA,612
2017/02,52,NARIÑO,52399,LA UNIÓN,607
2017/02,81,ARAUCA,81065,ARAUQUITA,606
2017/02,5,ANTIOQUIA,5495,NECHÍ,598
2017/02,5,ANTIOQUIA,5197,COCORNÁ,595
2017/02,50,META,50150,CASTILLA LA NUEVA,594
2017/02,73,TOLIMA,73148,CARMEN DE APICALÁ,588
2017/02,25,CUNDINAMARCA,25769,SUBACHOQUE,577
2017/02,5,ANTIOQUIA,5425,MACEO,575
2017/02,25,CUNDINAMARCA,25402,LA VEGA,571
2017/02,13,BOLÍVAR,13140,CALAMAR,570
2017/02,73,TOLIMA,73555,PLANADAS,565
2017/02,52,NARIÑO,52683,SANDONÁ,563
2017/02,54,NORTE DE SANTANDER,54172,CHINÁCOTA,554
2017/02,17,CALDAS,17524,PALESTINA,550
2017/02,76,VALLE DEL CAUCA,76497,OBANDO,550
2017/02,8,ATLÁNTICO,8520,PALMAR DE VARELA,547
2017/02,25,CUNDINAMARCA,25745,SIMIJACA,545
2017/02,5,ANTIOQUIA,5240,EBÉJICO,539
2017/02,70,SUCRE,70713,SAN ONOFRE,539
2017/02,68,SANTANDER,68861,VÉLEZ,531
2017/02,73,TOLIMA,73671,SALDAÑA,528
2017/02,5,ANTIOQUIA,5659,SAN JUAN DE URABÁ,526
2017/02,15,BOYACÁ,15322,GUATEQUE,524
2017/02,50,META,50318,GUAMAL,524
2017/02,47,MAGDALENA,47660,SABANAS DE SAN ANGEL,522
2017/02,15,BOYACÁ,15753,SOATÁ,519
2017/02,73,TOLIMA,73217,COYAIMA,517
2017/02,25,CUNDINAMARCA,25486,NEMOCÓN,516
2017/02,68,SANTANDER,68549,PINCHOTE,516
